Date,Open,High,Low,Close,Volume,Adj Close
2025-05-27,14.52,14.78,14.4,14.69,95198,14.69
2025-05-28,14.65,14.75,14.33,14.35,93340,14.35
2025-05-29,14.3,14.65,14.25,14.59,108357,14.59
2025-05-30,14.4,15.52,14.4,14.88,212785,14.88
2025-06-03,14.6,15.28,14.6,15.06,165132,15.06
2025-06-04,14.97,15.52,14.8,15.43,187050,15.43
2025-06-05,15.52,15.79,15.04,15.26,173830,15.26
2025-06-06,15.22,15.8,15.13,15.17,130566,15.17
2025-06-09,15.11,15.55,15.05,15.44,130551,15.44
2025-06-10,15.35,15.42,14.84,15.04,111953,15.04
2025-06-11,15.0,15.3,14.84,15.09,79740,15.09
2025-06-12,14.91,15.59,14.87,15.33,143724,15.33
2025-06-13,15.18,15.23,14.51,14.6,120193,14.6
2025-06-16,14.5,15.19,14.46,15.1,95954,15.1
2025-06-17,15.21,15.62,15.06,15.45,136230,15.45
2025-06-18,15.44,15.59,14.85,14.93,156274,14.93
2025-06-19,14.44,14.91,14.02,14.06,140126,14.06
2025-06-20,14.01,14.01,13.7,13.82,70219,13.82
2025-06-23,13.8,14.21,13.69,14.16,51809,14.16
2025-06-24,14.06,14.9,14.05,14.68,94754,14.68
2025-06-25,14.61,15.6,14.57,15.48,205001,15.48
2025-06-26,15.33,15.64,15.18,15.38,137115,15.38
2025-06-27,15.39,15.69,15.3,15.43,94168,15.43
2025-06-30,15.43,15.43,15.23,15.38,66886,15.38
2025-07-01,15.4,15.44,15.08,15.18,55974,15.18
2025-07-02,15.14,15.17,14.82,14.94,46063,14.94
2025-07-03,14.95,14.95,14.8,14.89,41298,14.89
2025-07-04,14.9,15.14,14.66,14.73,69671,14.73
2025-07-07,14.7,15.2,14.66,15.1,77754,15.1
2025-07-08,15.03,15.79,14.84,15.56,169942,15.56
2025-07-09,15.56,16.03,15.49,15.71,197752,15.71
2025-07-10,15.52,16.1,15.52,15.83,152182,15.83
2025-07-11,15.82,16.31,15.55,16.16,189038,16.16
2025-07-14,16.01,16.08,15.4,15.55,116408,15.55
2025-07-15,15.38,15.56,15.16,15.31,87747,15.31
2025-07-16,15.21,15.52,15.13,15.51,81963,15.51
2025-07-17,15.45,16.1,15.35,15.67,119953,15.67
2025-07-18,15.54,15.8,15.38,15.48,80367,15.48
2025-07-21,15.41,15.62,15.39,15.62,60725,15.62
2025-07-22,15.48,16.2,15.2,15.61,147138,15.61
2025-07-23,15.43,17.17,15.43,16.19,253422,16.19
2025-07-24,15.97,16.55,15.97,16.39,191838,16.39
2025-07-25,16.4,16.49,16.14,16.16,106710,16.16
2025-07-28,16.16,16.52,16.0,16.29,88095,16.29
2025-07-29,16.22,16.22,15.89,16.17,69587,16.17
2025-07-30,16.18,16.24,15.71,15.93,72596,15.93
2025-07-31,15.8,16.17,15.75,15.99,81889,15.99
2025-08-01,15.98,16.37,15.86,16.31,92580,16.31
2025-08-04,16.2,16.2,15.81,15.92,74697,15.92
2025-08-05,15.86,16.0,15.66,16.0,77058,16.0
2025-08-06,15.92,15.97,15.73,15.88,57294,15.88
2025-08-07,15.93,16.48,15.79,16.26,139772,16.26
2025-08-08,16.2,16.54,16.01,16.25,77017,16.25
2025-08-11,16.37,17.88,16.27,17.88,354496,17.88
2025-08-12,19.67,19.67,19.67,19.67,52798,19.67
2025-08-13,20.45,21.64,20.41,21.64,279287,21.64
2025-08-14,22.55,22.55,19.48,19.48,501372,19.48
2025-08-15,19.0,19.47,18.24,18.35,356356,18.35
2025-08-18,18.4,18.69,18.11,18.6,247053,18.6
2025-08-19,18.42,19.45,18.31,18.97,258497,18.97
2025-08-20,18.5,18.56,18.01,18.28,172271,18.28
2025-08-21,18.34,18.79,18.28,18.37,146939,18.37
2025-08-22,18.09,18.65,18.05,18.4,133317,18.4
2025-08-25,18.45,18.61,18.23,18.53,113924,18.53
2025-08-26,18.55,18.86,18.4,18.58,128722,18.58
2025-08-27,18.28,18.65,17.71,17.72,137576,17.72
2025-08-28,17.72,18.08,17.43,18.07,101522,18.07
2025-08-29,18.03,18.6,17.8,18.41,107831,18.41
2025-09-01,18.42,18.6,18.2,18.52,91253,18.52
2025-09-02,18.54,18.78,17.5,17.69,110260,17.69
2025-09-03,17.67,17.77,16.74,17.04,120418,17.04
2025-09-04,16.88,17.2,16.64,16.97,70100,16.97
2025-09-05,16.98,17.43,16.81,17.42,64822,17.42
2025-09-08,17.3,17.53,17.28,17.48,52703,17.48
2025-09-09,17.44,17.62,17.26,17.32,44051,17.32
2025-09-10,17.27,17.43,17.18,17.36,34108,17.36
2025-09-11,17.42,17.67,17.11,17.65,66848,17.65
2025-09-12,17.55,17.95,17.5,17.65,63332,17.65
2025-09-15,17.65,18.49,17.65,18.2,125705,18.2
2025-09-16,18.1,19.1,17.86,18.79,174226,18.79
2025-09-17,18.86,19.29,18.68,19.01,184068,19.01
2025-09-18,19.02,19.03,17.88,18.12,164380,18.12
2025-09-19,18.2,18.2,17.6,17.63,71640,17.63
2025-09-22,17.62,17.75,17.45,17.7,50098,17.7
2025-09-23,17.53,17.55,16.69,17.15,75275,17.15
2025-09-24,17.14,17.79,16.94,17.54,66604,17.54
2025-09-25,17.38,17.53,17.06,17.11,51444,17.11
2025-09-26,17.13,17.33,16.85,16.86,39921,16.86
2025-09-29,16.8,17.44,16.64,17.36,60932,17.36
2025-09-30,17.27,17.3,17.02,17.03,44618,17.03
2025-10-09,16.96,17.0,16.63,16.88,49014,16.88
2025-10-10,16.81,17.24,16.71,17.02,38560,17.02
2025-10-13,16.57,16.86,16.0,16.79,56356,16.79
2025-10-14,16.88,17.15,16.78,16.84,50027,16.84
2025-10-15,17.04,17.13,16.65,16.84,47899,16.84
2025-10-16,16.68,16.78,16.47,16.5,36137,16.5
2025-10-17,16.55,16.75,16.15,16.24,39384,16.24
2025-10-20,16.29,16.69,16.29,16.65,37401,16.65
2025-10-21,16.65,17.28,16.58,17.07,63017,17.07
2025-10-22,16.91,17.54,16.85,17.3,81918,17.3
2025-10-23,17.51,17.65,17.2,17.5,60916,17.5
2025-10-24,17.5,18.16,17.32,18.07,105084,18.07
2025-10-27,18.07,18.26,17.79,18.09,74130,18.09
2025-10-28,18.09,18.37,18.02,18.13,71220,18.13
2025-10-29,18.02,19.94,17.92,19.94,133601,19.94
2025-10-30,19.75,19.75,18.54,18.91,244327,18.91
2025-10-31,18.38,19.4,18.38,18.82,159404,18.82
2025-11-03,18.8,19.9,18.72,19.64,182374,19.64
2025-11-04,19.4,20.05,19.37,19.64,119055,19.64
2025-11-05,19.45,20.18,19.39,19.79,112968,19.79
2025-11-06,19.72,20.68,19.65,20.48,143057,20.48
2025-11-07,20.22,21.35,20.08,20.94,147141,20.94
2025-11-10,20.76,21.2,20.26,20.4,125014,20.4
2025-11-11,20.32,20.47,19.9,20.02,97499,20.02
2025-11-12,19.8,20.29,19.55,20.05,70844,20.05
2025-11-13,19.88,20.74,19.85,20.4,68771,20.4
2025-11-14,20.12,20.58,20.12,20.19,47808,20.19
2025-11-17,20.09,20.5,20.06,20.44,52577,20.44
